Name,Conference,SOS,Comp Percent,Y/A,Att/TD,Att/INT,WR DR,Starter,Draft Position,Age,Height,Weight,Class,Adj.CarAV,Proj AV,Adj,Surplus
Ryan Lindley,MWC,-2.362,-1.354166667,-0.160377358,0.277580071,0.869103774,0.655,4,185,22,76,229,Fail,-0.67,0.777802,0.777802,-1.447802
Erik Ainge,SEC,2.694,0.591603053,-0.227272727,0.802739726,0.976129032,0.424,4,162,21,77,221,Fail,0,1.475185,1.475185,-1.475185
Charlie Batch,MAC,-5.15,0.322222222,0.330188679,0.423205902,0.472222222,0.177,2,60,23,74,216,Fail,3.08,4.567927,4.567927,-1.487927
Nathan Enderle,WAC,-0.78,-0.718503937,-0.384615385,-0.015550239,-0.472241743,0.413,4,160,22,76,240,Fail,0,1.535827,1.535827,-1.535827
David Carr,WAC,-2.02,1.503546099,1.732758621,1.162087912,2.19681742,0.595,2,1,22,75,216,Fail,4.8,6.356866,6.356866,-1.556866
Tim Tebow,SEC,2.958,1.86636971,2.146067416,0.906698565,1.217277487,0.436,3,25,22,75,236,Fail,4,5.629162,5.629162,-1.629162
Colt McCoy,Big12,2.596,2.489977728,0.235955056,0.613636364,-0.019895288,0.831,4,85,23,74,215,Fail,2.17,3.809902,3.809902,-1.639902
Jeff Rowe,WAC,-2.866,1.013377926,0.088235294,0.6839585,-0.136813187,0.319,3,151,22,77,221,Fail,0,1.808716,1.808716,-1.808716
Craig Krenzel,Big10,4.345,-0.394480519,0.094827586,0.487767584,-0.521594684,0.661,2,148,22,75,228,Fail,0.08,1.899679,1.899679,-1.819679
Chris Simms,Big12,4.01,0.662650602,1.029473684,0.942462601,-0.138569604,0.813,2,97,22,76,220,Fail,1.6,3.44605,3.44605,-1.84605
Steve Dils,PAC,9.06,2.308988764,0.61,0.728334358,0.767990074,0.695,1,97,23,73,190,Fail,1.6,3.44605,3.44605,-1.84605
Shaun King,CUSA,-5.24,2.103505843,1.957264957,0.828824627,1.915107914,0.612,3,50,21,73,228,Fail,3,4.871137,4.871137,-1.871137
Brandon Weeden,Big12,1.316,2.013888889,1.066037736,0.771055753,0.136792453,0.752,2,22,28,76,221,Fail,3.75,5.720125,5.720125,-1.970125
Randy Fasani,PAC,5.13,-0.80141844,1.560344828,1.046703297,0.733668342,0.567,2,137,23,75,234,Fail,0.25,2.23321,2.23321,-1.98321
Jake Locker,PAC,4.693,-0.974409449,-0.480769231,0.247607656,0.02037948,1.038,3,8,22,74,231,Fail,4,6.144619,6.144619,-2.144619
Byron Leftwich,MAC,-7.03,2.289156627,1.661052632,0.81127733,0.889527458,0.436,3,7,22,77,250,Fail,4,6.17494,6.17494,-2.17494
John David Booty,PAC,1.306,0.70610687,-0.113636364,1.071232877,-0.178709677,0.543,2,137,22,75,213,Fail,0,2.23321,2.23321,-2.23321
Ricky Stanzi,Big10,1.253,0.738188976,1.346153846,0.933014354,1.468728039,0.59,3,135,23,76,223,Fail,0,2.293852,2.293852,-2.293852
Jesse Palmer,SEC,6.23,-0.616352201,0.294736842,0.382861635,1.886212625,0.732,2,125,22,74,219,Fail,0.25,2.597062,2.597062,-2.347062
Chuck Fusina,IND,7.08,1.073033708,0.81,0.46834665,0.035980149,0.783,3,133,21,73,197,Fail,0,2.354494,2.354494,-2.354494
Luke McCown,WAC,-0.281,-0.086038961,0.267241379,0.165902141,-0.318272425,0.49,4,106,22,76,208,Fail,0.8,3.173161,3.173161,-2.373161
Danny Wuerffel,SEC,5.3,0.638181818,2.681415929,1.323272438,-0.37925574,0.752,4,99,22,73,212,Fail,1,3.385408,3.385408,-2.385408
Landry Jones,Big12,2.695,1.024253731,0.43877551,0.383259912,0.289655172,0.586,4,115,23,76,225,Fail,0.5,2.900272,2.900272,-2.400272
Mike Kafka,Big10,-0.628,1.198218263,-0.325842697,-0.983253589,0.07591623,0.38,1,122,22,75,225,Fail,0,2.688025,2.688025,-2.688025
Stefan LeFors,CUSA,-3.01,2.878571429,3.180851064,1.211904762,2.657063712,0.541,2,121,23,72,203,Fail,0,2.718346,2.718346,-2.718346
Charlie Frye,MAC,-2.419,1.110714286,0.521276596,0.453571429,0.306925208,0.668,4,67,23,76,220,Fail,1.6,4.35568,4.35568,-2.75568
Rohan Davey,SEC,6.41,0.546099291,1.732758621,0.356227106,0.310720268,0.875,1,117,23,74,245,Fail,0,2.83963,2.83963,-2.83963
